"id";"fecha";"importe";"tipoPago";"concepto";"polizas.id";"companias.id";"nroRecibo";"fechaVencimiento"
19;24/1/2008 00:00:00;648,00;"C";"LIQUIDACION Nº 67420";;6;;
20;8/2/2008 00:00:00;709,00;"C";"LIQUIDACION Nº 68035";;6;;
21;25/2/2008 00:00:00;1292,00;"C";"LIQUIDACION Nº 68613";;6;;
26;15/1/2008 00:00:00;940,45;"C";"LIQUIDACION Nº 8715";;8;;
27;31/1/2008 00:00:00;1902,73;"C";"LIQUIDACION Nº 8787";;8;;
28;18/2/2008 00:00:00;1724,71;"C";"LIQUIDACION  Nº 8850";;8;;
29;27/2/2008 00:00:00;1721,33;"C";"LIQUIDACION Nº 8905";;8;;
30;18/3/2008 00:00:00;1428,33;"C";"LIQUIDACION Nº 8995";;8;;
31;1/4/2008 00:00:00;2228,36;"C";"LIQUIDACION Nº 9048";;8;;
34;10/4/2008 00:00:00;235,00;"C";"LIQUIDACION Nº 70180";;6;;
36;7/1/2008 00:00:00;1947,30;"C";"LOTE 197801";;7;;
37;22/1/2008 00:00:00;1362,73;"C";"LOTE 199450";;7;;
38;25/1/2008 00:00:00;350,50;"C";"LOTE 199716";;7;;
39;7/2/2008 00:00:00;1215,55;"C";"LOTE 201197";;7;;
40;20/2/2008 00:00:00;2041,64;"C";"LOTE 202462";;7;;
42;21/2/2008 00:00:00;75,50;"P";"CUOTA 1";28;;0;
43;17/3/2008 00:00:00;80,00;"P";"CUOTA 2";28;;0;
44;28/1/2008 00:00:00;141,85;"P";"CUOTA 1";29;;0;
45;25/2/2008 00:00:00;141,89;"P";"CUOTA 2";29;;0;
46;25/3/2008 00:00:00;141,89;"P";"CUOTA 3";29;;0;
47;19/2/2008 00:00:00;112,71;"P";"CUOTA 1";30;;0;
48;21/3/2008 00:00:00;112,70;"P";"CUOTA 2";30;;0;
49;22/1/2008 00:00:00;77,30;"P";"CUOTA 1";31;;0;
50;19/2/2008 00:00:00;77,33;"P";"CUOTA2";31;;0;
51;19/3/2008 00:00:00;77,33;"P";"CUOTA 3";31;;0;
52;16/1/2008 00:00:00;92,15;"P";"CUOTA 2";32;;0;
53;12/2/2008 00:00:00;92,15;"P";"CUOTA  3";32;;0;
54;17/3/2008 00:00:00;92,15;"P";"CUOTA 4";32;;0;
55;15/4/2008 00:00:00;92,15;"P";"CUOTA 5";32;;0;
56;17/1/2008 00:00:00;79,00;"P";"CUOTA 2";33;;0;
57;22/2/2008 00:00:00;79,00;"P";"CUOTA 3";33;;0;
58;14/1/2008 00:00:00;203,00;"P";"CUOTA 3";34;;0;
59;13/2/2008 00:00:00;203,00;"P";"CUOTA 4";34;;0;
60;14/3/2008 00:00:00;203,00;"P";"CUOTA 5";34;;0;
61;14/4/2008 00:00:00;203,00;"P";"CUOTA 6";34;;0;
62;4/4/2008 00:00:00;217,03;"P";"CUOTA 1";8;;0;
63;8/2/2008 00:00:00;77,30;"P";"CUOTA 1";35;;0;
64;7/3/2008 00:00:00;77,33;"P";"CUOTA 2";35;;0;
65;1/4/2008 00:00:00;77,33;"P";"CUOTA 3";35;;0;
66;4/4/2008 00:00:00;105,80;"P";"CUOTA 1";36;;1;
